"","BRPRE1M=BMF","BRPRE2M=BMF","BRPRE3M=BMF","BRPRE4M=BMF","BRPRE5M=BMF","BRPRE6M=BMF","BRPRE7M=BMF","BRPRE8M=BMF","BRPRE9M=BMF","BRPRE10M=BMF","BRPRE11M=BMF","BRPRE1Y=BMF","BRPRE2Y=BMF","BRPRE3Y=BMF","BRPRE4Y=BMF","BRPRE5Y=BMF","BRPRE6Y=BMF","BRPRE7Y=BMF","BRPRE8Y=BMF","BRPRE9Y=BMF","BRPRE10Y=BMF"
"10/31/2022","13.659","13.67","13.688","13.699","13.699","13.672","13.656","13.605","13.482","13.388","13.286","13.13","11.807","11.482","11.495","11.537","11.619","11.676","11.718","11.719","11.748"
"9/30/2022","13.668","13.682","13.689","13.762","13.654","13.688","13.678","13.608","13.558","13.48","13.341","13.245","11.938","11.612","11.669","11.731","11.844","11.913","11.949","11.941","11.964"
"8/31/2022","13.673","13.708","13.743","13.745","13.754","13.76","13.749","13.774","13.738","13.673","13.613","13.526","12.375","11.913","11.898","11.869","11.989","12.022","12.065","12.06","12.099"
"7/31/2022","13.513","13.619","13.724","13.796","13.836","13.879","13.894","13.915","13.915","13.916","13.877","13.823","13.064","12.714","12.737","12.863","12.819","12.925","12.952","12.959","12.98"
"6/30/2022","13.144","13.33","13.479","13.593","13.701","13.782","13.877","13.9","13.923","13.963","13.971","13.923","13.231","12.781","12.699","12.912","12.815","12.958","12.956","12.963","12.948"
"5/31/2022","12.863","13.026","13.171","13.243","13.336","13.398","13.406","13.492","13.501","13.495","13.5","13.497","12.738","12.327","12.19","12.241","12.281","12.355","12.395","12.437","12.451"
"4/30/2022","12.403","12.63","12.795","12.905","12.96","13.015","13.05","13.032","13.092","12.999","13.041","13.075","12.442","11.951","11.839","11.799","11.909","11.974","12.019","12.104","12.103"
"3/31/2022","11.635","12.044","12.296","12.429","12.544","12.652","12.705","12.755","12.773","12.809","12.811","12.777","12.002","11.452","11.287","11.332","11.386","11.53","11.591","11.606","11.628"
"2/28/2022","11.113","11.365","11.678","11.915","12.112","12.261","12.351","12.44","12.452","12.473","12.474","12.472","11.882","11.392","11.324","11.285","11.375","11.505","11.566","11.602","11.634"
"1/31/2022","10.279","10.795","11.112","11.487","11.715","11.834","11.988","12.116","12.174","12.168","12.238","12.289","11.758","11.354","11.316","11.372","11.39","11.432","11.352","11.461","11.502"
"12/31/2021","9.16","9.748","10.27","10.635","10.98","11.225","11.4","11.577","11.69","11.735","11.785","11.775","10.984","10.595","10.514","10.575","10.615","10.716","10.729","10.707","10.674"
"11/30/2021","8.685","8.987","9.498","10.028","10.461","10.845","11.127","11.373","11.615","11.654","11.786","11.842","11.728","11.592","11.498","11.548","11.58","11.581","11.73","11.542","11.49"
"10/31/2021","7.647","8.346","8.807","9.435","10.119","10.579","11.079","11.401","11.656","11.866","12.016","12.106","12.387","12.298","12.239","12.264","12.298","12.291","12.266","12.255","12.252"
"9/30/2021","6.222","6.65","7.157","7.479","7.765","8.062","8.255","8.453","8.601","8.726","8.859","8.917","9.724","10.135","10.368","10.523","10.691","10.811","10.917","10.995","11.001"
