DATE,NAEXKP02BRQ189S
2012-01-01,193125333500.0
2012-04-01,194616536200.0
2012-07-01,197194964000.0
2012-10-01,199344672600.0
2013-01-01,200311994000.0
2013-04-01,202908200300.0
2013-07-01,204254178500.0
2013-10-01,204059850800.0
2014-01-01,207389711600.0
2014-04-01,206268035600.0
2014-07-01,206574814000.0
2014-10-01,209583853200.0
2015-01-01,206003097900.0
2015-04-01,202078653500.0
2015-07-01,198448311400.0
2015-10-01,196912104400.0
2016-01-01,194431048000.0
2016-04-01,193295232000.0
2016-07-01,192681443100.0
2016-10-01,191992636400.0
2017-01-01,193424236600.0
2017-04-01,196607800700.0
2017-07-01,198576588600.0
2017-10-01,198796557400.0
2018-01-01,200553314100.0
2018-04-01,201052638700.0
2018-07-01,202323202500.0
2018-10-01,202195112100.0
2019-01-01,205674158400.0
2019-04-01,206555529500.0
2019-07-01,207474099100.0
2019-10-01,207375413900.0
2020-01-01,204776496900.0
2020-04-01,181600875900.0
2020-07-01,194704059300.0
2020-10-01,200719815400.0
2021-01-01,201440854600.0
2021-04-01,200795626600.0
2021-07-01,202890435900.0
2021-10-01,204883343200.0
2022-01-01,205961600100.0
2022-04-01,211399821300.0
